company,fiscal_year,status,company_candidates_found,screened,sha256,source_url,reason
AppBank株式会社,2020,not_downloaded,,,,,No report URL discovered.
AppBank株式会社,2021,not_downloaded,,,,,https://ir.appbank.co.jp/ir/announce/main/00/teaserItems1/0/linkList/04/link/20210226.pdf: Downloaded PDF failed Annual Report screening: Fiscal year 2021 was not confirmed inside the PDF.; No balance sheet heading found.
AppBank株式会社,2022,not_downloaded,,,,,No report URL discovered.
AppBank株式会社,2023,not_downloaded,,,,,No report URL discovered.
AppBank株式会社,2024,not_downloaded,,,,,No report URL discovered.
AppBank株式会社,2025,not_downloaded,,,,,No report URL discovered.
ASKUL LOGIST株式会社,2020,not_downloaded,,,,,No report URL discovered.
ASKUL LOGIST株式会社,2021,not_downloaded,,,,,No report URL discovered.
ASKUL LOGIST株式会社,2022,not_downloaded,,,,,No report URL discovered.
ASKUL LOGIST株式会社,2023,not_downloaded,,,,,No report URL discovered.
ASKUL LOGIST株式会社,2024,not_downloaded,,,,,No report URL discovered.
ASKUL LOGIST株式会社,2025,not_downloaded,,,,,No report URL discovered.
Byside株式会社,2020,not_downloaded,,,,,No report URL discovered.
Byside株式会社,2021,not_downloaded,,,,,No report URL discovered.
Byside株式会社,2022,not_downloaded,,,,,No report URL discovered.
Byside株式会社,2023,not_downloaded,,,,,No report URL discovered.
Byside株式会社,2024,not_downloaded,,,,,No report URL discovered.
Byside株式会社,2025,not_downloaded,,,,,No report URL discovered.
i-PRO株式会社,2020,not_downloaded,,,,,No report URL discovered.
i-PRO株式会社,2021,not_downloaded,,,,,No report URL discovered.
i-PRO株式会社,2022,not_downloaded,,,,,No report URL discovered.
i-PRO株式会社,2023,not_downloaded,,,,,No report URL discovered.
i-PRO株式会社,2024,not_downloaded,,,,,No report URL discovered.
i-PRO株式会社,2025,not_downloaded,,,,,No report URL discovered.
JR九州エンジニアリング株式会社,2020,not_downloaded,,,,,No report URL discovered.
JR九州エンジニアリング株式会社,2021,not_downloaded,,,,,No report URL discovered.
JR九州エンジニアリング株式会社,2022,not_downloaded,,,,,No report URL discovered.
JR九州エンジニアリング株式会社,2023,not_downloaded,,,,,No report URL discovered.
JR九州エンジニアリング株式会社,2024,not_downloaded,,,,,No report URL discovered.
JR九州エンジニアリング株式会社,2025,not_downloaded,,,,,No report URL discovered.
JUKI産機テクノロジー株式会社,2020,not_downloaded,,,,,No report URL discovered.
JUKI産機テクノロジー株式会社,2021,not_downloaded,,,,,No report URL discovered.
JUKI産機テクノロジー株式会社,2022,not_downloaded,,,,,No report URL discovered.
