company,fiscal_year,status,company_candidates_found,screened,sha256,source_url,reason
AppBank株式会社,2020,not_downloaded,1,,,,No report URL discovered.
AppBank株式会社,2021,not_downloaded,1,,,,https://ir.appbank.co.jp/ir/announce/main/00/teaserItems1/0/linkList/04/link/20210226.pdf: Downloaded PDF failed Annual Report screening: No balance sheet heading found.
AppBank株式会社,2022,not_downloaded,1,,,,No report URL discovered.
AppBank株式会社,2023,not_downloaded,1,,,,No report URL discovered.
AppBank株式会社,2024,not_downloaded,1,,,,No report URL discovered.
AppBank株式会社,2025,not_downloaded,1,,,,No report URL discovered.
note株式会社,2020,not_downloaded,0,,,,No report URL discovered.
note株式会社,2021,not_downloaded,0,,,,No report URL discovered.
note株式会社,2022,not_downloaded,0,,,,No report URL discovered.
note株式会社,2023,not_downloaded,0,,,,No report URL discovered.
note株式会社,2024,not_downloaded,0,,,,No report URL discovered.
note株式会社,2025,not_downloaded,0,,,,No report URL discovered.
アルピコホールディングス株式会社,2020,not_downloaded,0,,,,No report URL discovered.
アルピコホールディングス株式会社,2021,not_downloaded,0,,,,No report URL discovered.
アルピコホールディングス株式会社,2022,not_downloaded,0,,,,No report URL discovered.
アルピコホールディングス株式会社,2023,not_downloaded,0,,,,No report URL discovered.
アルピコホールディングス株式会社,2024,not_downloaded,0,,,,No report URL discovered.
アルピコホールディングス株式会社,2025,not_downloaded,0,,,,No report URL discovered.
ダイニチ工業株式会社,2020,not_downloaded,3,,,,https://www.dainichi-net.co.jp/uploads/2020/05/2013_securities_report.pdf: Downloaded PDF failed Annual Report screening: Fiscal year 2020 was not confirmed inside the PDF.
ダイニチ工業株式会社,2021,not_downloaded,3,,,,No report URL discovered.
ダイニチ工業株式会社,2022,not_downloaded,3,,,,No report URL discovered.
ダイニチ工業株式会社,2023,not_downloaded,3,,,,No report URL discovered.
ダイニチ工業株式会社,2024,not_downloaded,3,,,,https://www.dainichi-net.co.jp/uploads/2023/11/2024_q2_report.pdf: Downloaded PDF failed Annual Report screening: Fiscal year 2024 was not confirmed inside the PDF.
ダイニチ工業株式会社,2025,not_downloaded,3,,,,https://www.dainichi-net.co.jp/ir/library/securities-report/: The discovered URL did not return a PDF file.
ラクスル株式会社,2020,not_downloaded,4,,,,No report URL discovered.
ラクスル株式会社,2021,not_downloaded,4,,,,No report URL discovered.
