company_name,jpx_name,code,market,match_basis,as_of,source_url
AppBank株式会社,ＡｐｐＢａｎｋ,6177,グロース（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
note株式会社,ｎｏｔｅ,5243,グロース（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
アルピコホールディングス株式会社,アルピコホールディングス,297A,スタンダード（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
ダイニチ工業株式会社,ダイニチ工業,5951,スタンダード（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
リソルホールディングス株式会社,リソルホールディングス,5261,プライム（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社 帝国ホテル,帝国ホテル,9708,スタンダード（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社NSグループ,ＮＳグループ,471A,プライム（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社TENTIAL,ＴＥＮＴＩＡＬ,325A,グロース（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社アップガレージグループ,アップガレージグループ,7134,スタンダード（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社グッドパッチ,グッドパッチ,7351,グロース（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社ストライダーズ,ストライダーズ,9816,スタンダード（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社タイミー,タイミー,215A,グロース（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社トーエネック,トーエネック,1946,プライム（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社プレイド,プレイド,4165,グロース（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社ベルク,ベルク,9974,プライム（内国株式）,normalized exact,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
株式会社ホーライ,ホウライ,9679,スタンダード（内国株式）,verified orthographic alias,2026-07-31,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html
